"Category","Fields of Research"
"08 Information and Computing Sciences",1078599
"09 Engineering",377266
"11 Medical and Health Sciences",329361
"17 Psychology and Cognitive Sciences",186358
"01 Mathematical Sciences",168342
"06 Biological Sciences",102976
"13 Education",91249
"10 Technology",87017
"15 Commerce, Management, Tourism and Services",85520
"16 Studies in Human Society",78376
"02 Physical Sciences",72340
"03 Chemical Sciences",60068
"20 Language, Communication and Culture",51904
"14 Economics",45610
"04 Earth Sciences",43008
"22 Philosophy and Religious Studies",30947
"21 History and Archaeology",29859
"12 Built Environment and Design",29773
"05 Environmental Sciences",28582
"07 Agricultural and Veterinary Sciences",15877
"19 Studies in Creative Arts and Writing",14054
"18 Law and Legal Studies",9463